Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
acalmar	verb					to calm, to calm down
achar	noun	masculine	achar, achares	http://kaiko.getalp.org/dbnary/por/achar__Substantivo__1	Achar	an Indo-Port. term used to signify 'fruits conserved in vinegar or salt,' equivalent to the English ' pickles'
agosto	noun	masculine	agosto, agostos 	http://kaiko.getalp.org/dbnary/por/agosto__Substantivo__1		August
aia	noun	feminine	aia, aias	http://kaiko.getalp.org/dbnary/por/aia__Substantivo__1	Aia	' dry-nurse '
alfinete	noun	masculine	alfinete, alfinetes	http://kaiko.getalp.org/dbnary/por/alfinete__Substantivo__1	Alfinete	a pin
almanaque	noun	masculine	almanaque, almanaques	https://en.wiktionary.org/wiki/almanaque		almanac
ama	noun	feminine	ama, amas	http://kaiko.getalp.org/dbnary/por/ama__Substantivo__1	Ama	wet-nurse
ama	noun	feminine	ama, amas	http://kaiko.getalp.org/dbnary/por/ama__Substantivo__1	Ama	wet-nurse
âmbar	noun	masculine	âmbar, âmbares	https://en.wiktionary.org/wiki/%C3%A2mbar#Portuguese	Âmbar	amber especially ambergris
amém	interjection	—		https://en.wiktionary.org/wiki/am%C3%A9m#Portuguese	Amen	Amen
ananás	noun	masculine	ananás, ananases	http://kaiko.getalp.org/dbnary/por/ananás__Substantivo__1	Ananás	the pine-apple
ananás	noun	masculine	ananás, ananases	http://kaiko.getalp.org/dbnary/por/ananás__Substantivo__1	Ananás	the pine-apple
anis	noun	masculine	anis, anis	http://kaiko.getalp.org/dbnary/por/anis__Substantivo__1	?Anis	the anise plant ; also aniseed
anis	noun	masculine	anis, anis	http://kaiko.getalp.org/dbnary/por/anis__Substantivo__1	?Anis	the anise plant ; also aniseed
armário	noun	masculine	armário, armários	http://kaiko.getalp.org/dbnary/por/armário__Substantivo__1	Armário	cup-board ; the archaic form of this word, which is even now in use among the people in Portugal, is almario ; it is the result of dissimilation
arrátel	noun	masculine	arrátel, arráteis	http://kaiko.getalp.org/dbnary/por/arrátel__Substantivo__1	Arrátel	a pound weight
ata	noun	feminine	ata, atas	http://kaiko.getalp.org/dbnary/por/ata__Substantivo__1	Ata	bot., Anona squamosa, L. ; custard-apple
ata	noun	feminine	ata, atas	http://kaiko.getalp.org/dbnary/por/ata__Substantivo__1	Ata	bot., Anona squamosa, L. ; custard-apple
bacia	noun	feminine	bacia, bacias	http://kaiko.getalp.org/dbnary/por/bacia__Substantivo__1	Bacia|Bacio	in the sense of 'a dinner plate'
bacio	noun	masculine	bacio, bacios	http://kaiko.getalp.org/dbnary/por/bafo__Substantivo__1	Bacia|Bacio	in the sense of 'a dinner plate'
bafo	noun	masculine	bafo, bafos	http://kaiko.getalp.org/dbnary/por/bafo__Substantivo__1	Bafo	vapour
baixel	noun	masculine	baixel, baixéis	http://kaiko.getalp.org/dbnary/por/baixel__Substantivo__1	? Baixel	in the sense of ‘ an Arab barge ’
balde	noun	masculine	balde, baldes	http://kaiko.getalp.org/dbnary/por/balde__Substantivo__1	Balde	a bucket
bálsamo	noun	masculine	bálsamo, bálsamos	https://en.wiktionary.org/wiki/b%C3%A1lsamo#Portuguese	Bálsamo	balsam, ointment
baptismo	noun	masculine	baptismo, baptismos	http://kaiko.getalp.org/dbnary/por/baptismo__Substantivo__1	Baptismo	baptism 
basta	interjection	—		https://en.wiktionary.org/wiki/basta#Portuguese	Basta	verb, stop, it is enough
baú	noun	masculine	baú, baús	https://en.wiktionary.org/wiki/ba%C3%BA	Baú	a trunk, box
beringela	noun	feminine	beringela, beringelas	http://kaiko.getalp.org/dbnary/por/beringela__Substantivo__1	Beringela	bot., Bolanum Melongena,L., ‘the egg-plant’
beringela	noun	feminine	beringela, beringelas	http://kaiko.getalp.org/dbnary/por/beringela__Substantivo__1	Beringela	bot., Bolanum Melongena,L., ‘the egg-plant’ (fruit of)
bilimbim	noun	masculine			Bilimbim	bot., the fruit of Averrhoa bilimbi, L.
biscoito	noun	masculine	biscoito, biscoitos	http://kaiko.getalp.org/dbnary/por/biscoito__Substantivo__1	Biscoito	biscuit
boião	noun	masculine	boião, boiões	https://en.wiktionary.org/wiki/boi%C3%A3o	Boião	pot, generally of clay or porcelain
bomba	noun	feminine	bomba, bombas	http://kaiko.getalp.org/dbnary/por/bomba__Substantivo__1	Bomba	bomb
bomba	noun	feminine	bomba, bombas	http://kaiko.getalp.org/dbnary/por/bomba__Substantivo__1	Bomba	a water pump'
botão	noun	masculine	botão, botões	http://kaiko.getalp.org/dbnary/por/botão__Substantivo__1	Botão	button
botelha	noun	feminine	botelha, botelhas	http://kaiko.getalp.org/dbnary/por/botelha__Substantivo__1	? Botelha	‘bottle ’
caju	noun	masculine	caju, cajus	http://kaiko.getalp.org/dbnary/por/caju__Substantivo__1	Caju	bot., Anacardium Occidentale.
caju	noun	masculine	caju, cajus	http://kaiko.getalp.org/dbnary/por/caju__Substantivo__1	Caju	bot., Anacardium Occidentale (fruit of)
calafate	noun	masculine	calafate, calafates	http://kaiko.getalp.org/dbnary/por/calafate__Substantivo__1	Calafate	a caulker
calafate	noun	masculine	calafate, calafates	http://kaiko.getalp.org/dbnary/por/calafate__Substantivo__1	Calafate	a caulker
câmara	noun	Feminine	câmara, câmaras	http://kaiko.getalp.org/dbnary/por/câmara__Substantivo__1	Câmara	a room
câmara	noun	Feminine	câmara, câmaras	http://kaiko.getalp.org/dbnary/por/câmara__Substantivo__1	Câmara	a room
camisa	noun	feminine	camisa, camisas	http://kaiko.getalp.org/dbnary/por/camisa__Substantivo__1	Camisa	a shirt
campo	noun	masculine	campo, campos	http://kaiko.getalp.org/dbnary/por/campo__Substantivo__1	Campo	a field
