Etymon pt-PT	Etymon pt-PT Note	Etymology Free	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative	Domain	OD
achar		achar (Source: Dalgado)	اچار	ācār	अचार	noun	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	pickle	m.	اچار	441	1.61		
agosto	August	agosto (Source:  W)	اگست	agast	अगस्त	noun	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August	m.	اگست	26,735	97.84	calendar	calendar
aia	ayah		آیا‎	āyā	आया	noun	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse	f.	آیا‎	0		occupations	occupations
alfinete	alfinete ( ← A.): ? × pin (English); pin		آلپین	ālpin	आलपीन	noun			m.	آلپین	1	< 0.01	sewing	sewing and tailoring
ananás	pineapple	ananás (Source: Dalgado)	انناس	anannās	अनन्नास	noun		pineapple (fruit)		انناس	309	1.13	botany	botany
anis		? anis (Source: Dalgado); Greek ἄνισον  (Source: Dalgado) ; Latin anisum  (Source: Dalgado)	اَنِیسُون	anīsun	अनीसून					اَنِیسُون	14	0.05		
armário	cupboard; wardrobe	armário (Source: Dalgado)	اَلْماری	almārī	अलमारी	noun	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah	f.	اَلْماری	1,226	4.49	furniture	furniture
arrátel		arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	رطل	ratal	रतल	noun		(units of measurement) pound & a pound weight & ( units of measurement) a pint	m.	رطل	53	0.19		
bafo		? bafo (Source: Dalgado); Sanksrit वाष्प  (Source: Dalgado)	بھاپ	bhāp	भाप	noun	(Standard Urdu) IPA(key): /bʱɑːp/	hot breath; exhalation & steam, water vapour & vapour, gas	m.	بھاپ	645	2.36		
baixel		? baixel (Source: Dalgado); Arabic بغلة  (Source: Dalgado)	بجرا	bajrā	बजरा	noun			m.	بجرا	35	0.13		
balde	bucket	balde (Source: Dalgado)	بالٹی	bālṭī	बालटी	noun		bucket	f.	بالٹی	806	2.95		
basta		basta (Source: Dalgado); Persian بس  (Source: Dalgado; Wiktionary; McGregor)	بس	bas	बस	adj.	(Standard Urdu) IPA(key): /bəs/	enough, ample		بس	77,433	283.38		
beringela		beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡  from Sanskrit वङ्गन  (Source: Wiktionary);  Persian بادنجان  (Source: Soares,  Wiktionary) 	بینگن	baingan	बैंगन				m.	بینگن	391	1.43		
biscoito		biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	بسکٹ	biskut	बिस्कुट	noun		biscuit, cookie	m.	بسکٹ	834	3.05		
bomba		bomba (Source: Dalgado)	بمبہ	bamba	बंबा	noun		pump; water pump & channel, narrow river, creek	m.	بمبہ	0		military	military
bomba			بمبہ	bomba	बंबा	noun		pump; water pump & channel, narrow river, creek	m.		0			
botão		botão (Source: Dalgado); English button (Source: Dasa)	بٹن	batan	बटन	noun	(Standard Urdu) IPA(key): /bə.ʈən/	button	m.	بٹن	5,675	20.77		
botelha	bottle	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	بوتَل	botal	बोतल	noun	(Standard Urdu) IPA(key): /boː.t̪əl/	bottle & (euphemistic) wine bottle	f.	بوتل	3,173	11.61	objects	objects
câmara		câmara (Source: Dalgado)	کمرہ 	kamra	कमरा	noun	(Standard Urdu) IPA(key): /kəm.ɾɑ(ː)/	room, chamber & compartment (of an aeroplane or train)	m.	کمرہ	20,964	76.72	architecture	spaces and architecture
camisa		camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	قمیض	qamīs	क़मीज़	noun	(Standard Urdu) IPA(key): /qə.miːz/	shirt  & garment	m.	قمیض	1,257	4.6		
capitão		capitão (Source: Dalgado); English Captain (Source: Wiktionary)	کپتان	kaptān	कप्तान	noun	(Standard Urdu) IPA(key): /kəp.t̪ɑːn/	captain & skipper	m.	کپتان	18,562	67.93		
cartucho		? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	کارتوس	kāratus	कारतूस	noun			m.	کارتوس	672	2.46		
casa		casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	کاج	kāj	काज	noun			m.	کاج	N	N		
católico		católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	کیتھولک	katholik	कैथोलिक	noun	(Standard Urdu) IPA(key): /kɛː.t̪ʰoː.lɪk/	a Roman Catholic	m.	کیتھولک	1,300	4.76		
chá		chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	چائے	cāy	चाय	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.eː/	tea	f.	چائے	12,222	44.73		
