Etymon pt-PT Note	Etymon pt-PT	Transliteration	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Etymology Free	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	achar	ācār	اچار	441	1.61	अचार	noun	m.	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	achar (a spicy and salty pickle of Indian cuisine)	pt achar (Source: Dalgado, McGregor) .		اچار									
	agosto	agast	اگست	26,735	97.84	अगस्त	noun	m.	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August	pt agosto (Source:  McGregor) | en August (Source: McGregor, Platts).		اگست									
	aia	āyā	آیا‎	0		आया	noun	f.	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse	pt aia (Source: Dalgado, Fallon, Platts) .											
	alfinete	ālpin	آلپین	1	< 0.01	आलपीन	noun	f.		safety pin & a pin	pt alfinete (Source: Dalgado, Fallon, Kitabistan)  .											
	ambar	ambar	عنبر			अंबर	noun	m.		ambergris perfume	pt ambar (Source: Dalgado) | fa عنبر ‘ambergris’ (source:  Wiktionary) | pal ‘ambergris’ mbl (Source: Wiktionary) > ar عَنْبَر (Source: Dalgado, McGregor) .											
	amen	āmīn	آمین			आमीन	interjection			amen	pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado) .											
	ananás	anannās	انناس	309	1.13	अनन्नास	noun	m.		pineapple (fruit)	pt ananás ‘pineapple’ (Source: Dalgado, Fallon, Platts) .		انناس									
	anis	anīsun	اَنِیسُون	14	0.05	अनीसून	noun	m.		aniseed	pt ? anis (Source: Dalgado) | grc ἄνισον ‘anise (Pimpinella anisum)’ (Source: Dalgado) | grc ἄνισον (Source: Wiktionary) >  la anisum ‘anise (Pimpinella anisum)’  (Source: Dalgado) | ur (Source: Dasa).		اَنِیسُون									
	armário	almārī	اَلْماری	1,226	4.49	अलमारी	noun	f.	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah	 pt armário (Source: Dalgado, Fallon, Platts) .		اَلْماری			الماری⁩	الماری⁩	الماری⁩	الماریاں	الماریوں	الماریو	
	arrátel	ratal	رطل	53	0.19	रतल	noun	m.		a pound weight	pt arrátel (Source: Dalgado) | ar rat̤l (Source: McGregor) .		رطل									
	bacia ou bacio	basan	باسن			बासन	noun	m.		pot; any container 	pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Platts).											
	bafo	bhāp	بھاپ	645	2.36	भाप	noun	m.	(Standard Urdu) IPA(key): /bʱɑːp/	steam, water vapour  & vapour, gas	pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado, Dasa) | sa वप्प (Source: Dasa) .		بھاپ									
	baixel	bajrā	بجرا	35	0.13	बजरा	noun	m.		A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').	pt ? baixel (Source: Dalgado) | ar بغلة (Source: Dalgado) .		بجرا									
	balde	bālṭī	بالٹی	806	2.95	बालटी	noun	f.		bucket, container	pt balde (Source: Dalgado, McGregor) | en bucket (Source: Dasa) .		بالٹی									
	baptismo	baptisma	باپتسما 			बाप्तिस्मा	noun	m. 		(Christianity) baptism	pt ? baptismo (Source: Dalgado) .		بمبہ									
	basta	bas	بس	77,433	283.38	बस	adv.		(Standard Urdu) IPA(key): /bəs/	merely, only	pt basta (Source: Dalgado) | fa بس ‘enough, sufficiently' (Source: Dalgado, McGregor) .		بس									
