Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)
agosto	August	اگست	agast	अगस्त	noun	(Standard Urdu) IPA(key): /ə.ɡəst̪/	m.	August
aia	ayah	آیا‎	āyā	आया	noun	(Standard Urdu) IPA(key): /ɑː.jɑː/	f.	ayah: nurse maid, nurse
alfinete	alfinete ( ← A.): ? × pin (English); pin	آلپین	ālpin	आलपीन	noun		m.	
ananás	pineapple	انناس	anannās	अनन्नास	noun			
armário	cupboard; wardrobe	اَلْماری	almārī	अलमारी	noun	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	f.	cupboard, shelf; almirah
balde	bucket	بالٹی	bālṭī	बालटी	noun		f.	bucket
baptismo				बाप्तिस्मा				
baptismo	baptism							
bomba		بمبہ	bamba	बंबा	noun		m.	pump; water pump & channel, narrow river, creek
botelha	bottle	بوتَل	botal	बोतल		(Standard Urdu) IPA(key): /boː.t̪əl/	f.	bottle & (euphemistic) wine bottle
câmara		کمرہ 	kamra	कमरा	noun	(Standard Urdu) IPA(key): /kəm.ɾɑ(ː)/	m.	room, chamber & compartment (of an aeroplane or train)
carraguem		کِران٘چی		किराँची				
chave		چابی	cābī	चाबी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	f.	key (object for opening and closing a lock)
chave		چابھی	cābhī	चाभी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.bʱiː/	f.	key (object for opening and closing a lock)
couve		گوبھی	gobhī	गोभी	noun	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	f.	cauliflower
cristão	cristão; × H. musalmān, P. naṣrān			क्रिस्तान				
cruz		کروس		क्रूस				
dezembro	December	دسمبر		डीसिल्वा				
espada	steel	اسپات 	 ispāt'	इस्पात	noun	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	m.	
estábulo	estábulo; A. ist̤abal: ← L., Gk	اَصْطَبَل	astabal	अस्तबल	noun	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	m.	stable, mew, stall
estirar		استری	istrī	इस्तरी	noun	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/		
fita				फ़ीता				
hospital		اَسْپَتال		अस्पताल				
igreja		گِرْجا 		गिरजा				
inglês	Englishman			अँग्रेज़				
leilão	leilão: ← A. (al) a'lām	نيلام	 nī'lām' 	नीलाम				
martelo		مارتول	mārtol	मारतौल	noun		m.	
mastro		مستول	 mastaul' 	मस्तूल				
mestre		مِستری	mistri	मिस्त्री	noun		m.	
outubro	October			अक्तूबर				
padre		پادری		पादरी	noun	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	m.	(Christianity) clergyman; Christian priest  Synonym: ⁧فادر⁩ (fādar) &  (Christianity, historical) a missionary; Jesuit
pipa		پیپا‎		पीपा				
pistola		پسطول	pistūl	मार्तोल	noun		m.	
pompa		بمبہ	bamba	बंबा	noun	(Standard Urdu) IPA(key): /bəm.bᵊ/	m.	pump; water pump & channel, narrow river, creek
saia		سايہ	 sā'yah	साया	noun		m.	petticoat, underskirt
salsaparrilha				सालसा				
setembro	September			सितंबर				
toalha		تَولِیَہ⁩	tauliya	तौलिया	noun	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	m.	towel
varanda	varanda; w. P. bar āmada 'come forth'	 بَرَامْدَا‎		बरामदा				
