Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender
achar		اچار	ācār	अचार	noun	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	pickle	m.
agosto	August	اگست	agast	अगस्त	noun	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August	m.
aia	ayah	آیا‎	āyā	आया	noun	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse	f.
alfinete	alfinete ( ← A.): ? × pin (English); pin	آلپین	ālpin	आलपीन	noun			m.
ama								
ananás	pineapple	انناس	anannās	अनन्नास	noun		pineapple (fruit)	
anis		اَنِیسُون	anīsun	अनीसून				
armário	cupboard; wardrobe	اَلْماری	almārī	अलमारी	noun	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah	f.
arrátel		رطل	ratal	रतल	noun		1. (units of measurement) pound 2. a pound weight 3. ( units of measurement) a pint	m.
bafo		بھاپ	bhāp	भाप	noun	(Standard Urdu) IPA(key): /bʱɑːp/	1. hot breath; exhalation  2. steam, water vapour 3. vapour, gas	m.
baixel		بجرا	bajrā	बजरा	noun			m.
balde	bucket	بالٹی	bālṭī	बालटी	noun		bucket	f.
basta		بس	bas	बस	adj.	(Standard Urdu) IPA(key): /bəs/	enough, ample	
beringela		بینگن	baingan	बैंगन				m.
biscoito		بسکٹ	biskut	बिस्कुट	noun		biscuit, cookie	m.
bomba		بمبہ	bamba	बंबा	noun		1. pump; water pump 2. channel, narrow river, creek	m.
bomba		بمبہ	bomba	बंबा	noun		1. pump; water pump 2. channel, narrow river, creek	m.
botão		بٹن	batan	बटन	noun	(Standard Urdu) IPA(key): /bə.ʈən/	button	m.
botelha	bottle	بوتَل	botal	बोतल	noun	(Standard Urdu) IPA(key): /boː.t̪əl/	1. bottle  2. (euphemistic) wine bottle	f.
câmara		کمرہ 	kamra	कमरा	noun	(Standard Urdu) IPA(key): /kəm.ɾɑ(ː)/	1. room, chamber 2. compartment (of an aeroplane or train)	m.
camisa		قمیض	qamīs	क़मीज़	noun	(Standard Urdu) IPA(key): /qə.miːz/	1. shirt 2. garment	m.
capitão		کپتان	kaptān	कप्तान	noun	(Standard Urdu) IPA(key): /kəp.t̪ɑːn/	1.captain 2. skipper	m.
carabina		کاربائن		कारबाइन				
carraguem		کِران٘چی	karanchī	किराँची	noun			f.
cartucho		کارتوس	kāratus	कारतूस	noun			m.
casa		کاج	kāj	काज	noun			m.
católico		کیتھولک	katholik	कैथोलिक	noun	(Standard Urdu) IPA(key): /kɛː.t̪ʰoː.lɪk/	a Roman Catholic	m.
chá		چائے	cāy	चाय	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.eː/	tea	f.
chapa		چھاپہ		छापा				
chave		چابی	cābī	चाबी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	key (object for opening and closing a lock)	f.
chave		چابھی	cābhī	चाभी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.bʱiː/	key (object for opening and closing a lock)	f.
cocheiro		کوچبان	kochavān	कोचवान	noun			m.
coronel		کرنل	karnal	कर्नल	noun			m.
couve		گوبھی	gobhī	गोभी	noun	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	cauliflower	f.
cristão	cristão; × H. musalmān, P. naṣrān	کرستان	kristān	क्रिस्तान	noun			m.
dezembro	December	دسمبر	disambar	दिसंबर	noun	(Standard Urdu) IPA(key): /d̪ɪ.səm.bəɾ/		m.
espada	steel	اسپات 	 ispāt'	इस्पात	noun	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	steel	m.
estábulo	estábulo; A. ist̤abal: ← L., Gk	اَصْطَبَل	astabal	अस्तबल	noun	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	stable, mew, stall	m.
estirar		استری	istrī	इस्तरी	noun	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/	iron, clothes iron	f.
falto		فالتو	fāltū	फ़ालतू	adj.	(Standard Urdu) IPA(key): /fɑːl.t̪uː/	surplus, spare, extra, additional, useless	
fita		فيتہ	fītā	फ़ीता	noun			m.
gudão		گودام	godām	गोदाम	noun		warehouse, storeroom, storage, cellar	m.
hospital		اَسْپَتال	aspatāl	अस्पताल	noun	(Standard Urdu) IPA(key): /əs.pə.t̪ɑːl/	hospital	m.
igreja		گِرْجا 	girjā	गिरजा	noun	(Standard Urdu) IPA(key): /ɡɪɾ.d͡ʒɑː/	1. (Christianity) church  2. chapel	m.
inglês	Englishman	اَن٘گْریز	aṅgrez	अँग्रेज़	noun	(Standard Urdu) IPA(key): /əŋ.ɡɾeːz/	1. Englishman; a Brit 2. chiefly historical) the British 3. (colloquial) white person 	m or f
jalapa				जुल्लाब				
jogar		جوا	juā	जुआ	noun	(Standard Urdu) IPA(key): /d͡ʒʊ.ɑː/, /d͡ʒʊ.wɑː/, /d͡ʒuː.ɑː/	gambling	m.
jogar		جواری	juārī	जुआरी	noun		gambler	m.
leilão	leilão: ← A. (al) a'lām	نيلام	nī'lām' 	नीलाम	noun			m.
mármore		مرمر	marmar	मरमर	noun			m.
