hiTenTen21 Relative (1)	Variant	Headword	Transliteration	Etymon pt-PT	Etymology Full (Work here)	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1		Etymology Old
		करमरिया	karamriyā	acalmaria	pt acalmaria (Source: Dasa) .		noun	(Standard Hindi) IPA(key): /kə.ɾəm.ɾɪ.jɑː/, [kɐ.ɾɐ̃m.ɾi.jäː]	m.	(sailing) calming of the water waves due to decrease in winds				NA																pt acalmaria (Source: Dasa)
8		अचार	achār	achar	pt achar (Source: Dalgado, Dasa, McGregor) .	اچار	noun	(Delhi) IPA(key): /ə.t͡ʃɑːɾ/, [ɐ.t͡ʃäːɾ]	m.	achar (a spicy and salty pickle of Indian cuisine)	2,541	अचार		achar	achar (Source: Dalgado)	achar (Source: Dalgado)	 آچار Persian https://en.wiktionary.org/wiki/%D8%A2%DA%86%D8%A7%D8%B1#Persian (source: Wiktionary) 	culinary	culinary	food / preserves		अचार	अचार	अचार	अचार	अचारों	अचारो	achar		pt achar (Source: Dalgado, Dasa, McGregor) .
97.61		अगस्त	agasta	agosto	pt agosto (Source:  McGregor) | en August (Source: McGregor, Platts).	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	87,980	अगस्त		NA		agosto (Source:  W)	English August (Source: McGregor)	calendar	calendar	month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो	agosto		pt agosto (Source:  McGregor) | en August (Source: McGregor, Platts).
N		आया	āyā	aia	pt aia (Source: Dasa, McGregor, Platts) .	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	N	आया		aia	aia (Source: Dalgado)			occupations	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ	aia		pt aia (Source: Dalgado, Dasa, McGregor, Platts) .
0.03		आलपीन	ālapīn 	alfinete	pt alfinete (Source: Dasa, McGregor) | en ? pin (Source: McGregor) .	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	28	आलपीन		alfinete	alfinete (Source: Dalgado)			sewing	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो	alfinete		pt alfinete (Source: Dalgado, Dasa, McGregor) | en ? pin (Source: McGregor) .
		आलमनक	ālamnak	almanaque.	pt almanaque (Source: Dasa) .		noun	(Standard Hindi) IPA(key): /ɑː.ləm.nək/, [äː.lɐ̃m.nɐk]		almanac				NA															https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%B0%E0%A4%AE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE	pt almanaque (Source: Dasa)
		अंबर	ambar	ambar	pt ambar (Source: Dalgado) | ar عَنْبَر (Source: Dalgado, McGregor) .	عنبر	noun	(Delhi) IPA(key): /əm.bəɾ/, [ɐ̃m.bɐɾ]	m.	ambergris perfume		अंबर	âmbar	ambar	ambar (Source: Dalgado); Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	ambar (Source: Dalgado); Persian عنبر  (source:  Wiktionary); Arabic عَنْبَر  (Source: Dalgado)	Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	materials	materials	substances	masc cons-stem	अंबर	अंबर	अंबर	अंबर	अंबरों	अंबरो	ama		pt ambar (Source: Dalgado) | fa عنبر ‘ambergris’ (source:  Wiktionary) | pal ‘ambergris’ mbl (Source: Wiktionary) > ar عَنْبَر (Source: Dalgado, McGregor) .
		आमीन	āmīn	amen	pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado, McGregor) .	آمین	interjection			amen	1,001	आमीन	amém ou ámen	amen	amen (Source: Dalgado); Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	amen (Source: Dalgado); Arabic آمين  (Source: Dalgado)	Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	religion	religion	practices, beliefs and rituals								ambar		pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado, McGregor) .
2.82		अनन्नास	anannāsa	ananás	pt ananás ‘pineapple’ (Source: Dalgado, Dasa, McGregor, Platts) .	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)		अनन्नास		ananás	ananás (Source: Dalgado)	ananás (Source: Dalgado)		botany	botany	fruits	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो	amen		tpn naná ‘pineapple’ (Source: Wiktionary) > pt ananás ‘pineapple’ (Source: Dalgado, Dasa, McGregor, Platts) .
		अनीसून	anīsun	anis	ur (Source: Dasa).	اَنِیسُون	noun		m.	aniseed		अनीसून		? anis	? anis (Source: Dalgado); Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	? anis (Source: Dalgado); Greek ἄνισον  (Source: Dalgado) ; Latin anisum  (Source: Dalgado)	Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)											ananás		pt ? anis (Source: Dalgado) | grc ἄνισον ‘anise (Pimpinella anisum)’ (Source: Dalgado) | grc ἄνισον (Source: Wiktionary) >  la anisum ‘anise (Pimpinella anisum)’  (Source: Dalgado) | ur (Source: Dasa).
4.93		अलमारी	alamārī	armário	la armarium 'closet, chest' > pt armário (Source: Wiktionary) .	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	4,445	अलमारी		armário	armário (Source: Dalgado)	armário (Source: Dalgado)		furniture	furniture	pieces of furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो	anis		ine-pro *h₂(e)r-mo- ‘fitting’, *h₂er-mn-to- > itc-pro *armo-, *armnto- ‘weapons’ (Source: De Vaan) > la arma + -ārium ‘storage for weapons’ > pt armário [semantic broadening] (Source: Dalgado) .
		हलमरिया	halamriyā	armário	pt armário (Source: Dasa) .		noun	(Standard Hindi) IPA(key): /ɦə.ləm.ɾɪ.jɑː/, [ɦɐ.lɐ̃m.ɾi.jäː]	m.	(sailing) cell below ship's deck				NA				sailing											https://en.wiktionary.org/wiki/%E0%A4%B9%E0%A4%B2%E0%A4%AE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE	pt armário (Source: Dasa)
		रतल	ratal	arrátel	ar rat̤l (Source: McGregor) .	رطل	noun		m.	a pound weight	9	रतल		arrátel	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	Arabic rat̤l (Source: McGregor)											armário		pt arrátel (Source: Dalgado) | ar rat̤l (Source: McGregor) .
		बासन	bāsan	bacia ou bacio	pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Dasa, Platts) .	باسن	noun	(Delhi) IPA(key): /bɑː.sən/, [bäː.sɐ̃n]	m.	pot; any container 	5613	बासन		bacia ou bacio	bacia ou bacio (Source: Dalgado); Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	bacia ou bacio (Source: Dalgado); Sanskrit भाजन  (Source: Dalgado)	Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	household	household	tableware								arrátel		pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Dasa, Platts).
		भाप	bhāp	bafo	pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado, Dasa) | sa वप्प (Source: Dasa) .	بھاپ	noun		m.	steam, water vapour  & vapour, gas	5890	भाप		? bafo	? bafo (Source: Dalgado); Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	? bafo (Source: Dalgado); Sanksrit वाष्प  (Source: Dalgado)	Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	sensoryPerception	sensory perception	smell								ata		pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado, Dasa) | sa वप्प (Source: Dasa) .
