Etymon pt-PT	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Headword	Transliteration	Urdu	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
achar		achar	अचार	achār	اچار	noun	(Delhi) IPA(key): /ə.t͡ʃɑːɾ/, [ɐ.t͡ʃäːɾ]	m.	achar (a spicy and salty pickle of Indian cuisine)	culinary	food / preserves		अचार	अचार	अचार	अचार	अचारों	अचारो
agosto		NA	अगस्त	agasta	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	calendar	month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो
aia		aia	आया	āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ
alfinete		alfinete	आलपीन	ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	1. safety pin 2. a pin	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
ambar	âmbar	ambar	अंबर	ambar	عنبر	noun	(Delhi) IPA(key): /əm.bəɾ/, [ɐ̃m.bɐɾ]	m.	ambergris perfume	materials	substances	masc cons-stem	अंबर	अंबर	अंबर	अंबर	अंबरों	अंबरो
amen	amém ou ámen	amen	आमीन	āmīn	آمین	interjection			amen	religion	practices, beliefs and rituals							
ananás		ananás	अनन्नास	anannāsa	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)	botany	fruits	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो
anis		? anis	अनीसून	anīsun	اَنِیسُون	noun		m.	aniseed									
armário		armário	अलमारी	alamārī	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	furniture	pieces of furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो
arrátel		arrátel	रतल	ratal	رطل	noun		m.	a pound weight									
bacia ou bacio		bacia ou bacio	बासन	bāsan	باسن	noun	(Delhi) IPA(key): /bɑː.sən/, [bäː.sɐ̃n]	m.	pot; any container 	household	tableware							
bafo		? bafo	भाप	bhāp	بھاپ	noun		m.	1. steam, water vapour  2. vapour, gas	sensory perception	smell							
baixel		? baixel	बजरा	bajrā	بجرا	noun		m.	A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').									
balde		balde	बालटी	bālaṭī	بالٹی	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	objects	domestic items	fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो
baptismo		? baptismo	बाप्तिस्मा	bāptismā	بمبہ	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m. 	(Christianity) baptism	religion	practices, beliefs and rituals	masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो
basta		basta	बस	bas	بس	adv.			merely, only									
