Etymon pt-PT	hiTenTen21 Relative (1)	hiTenTen21 Absolute (1)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Headword	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
achar	8	7315		achar	achar (Source: Dalgado)	achar (Source: Dalgado)	 آچار Persian https://en.wiktionary.org/wiki/%D8%A2%DA%86%D8%A7%D8%B1#Persian (source: Wiktionary) 	अचार	achār	اچار	noun	(Delhi) IPA(key): /ə.t͡ʃɑːɾ/, [ɐ.t͡ʃäːɾ]	m.	achar (a spicy and salty pickle of Indian cuisine)	culinary	food / preserves		अचार	अचार	अचार	अचार	अचारों	अचारो	achar
agosto	97.61	87,980		NA		agosto (Source:  W)	English August (Source: McGregor)	अगस्त	agasta	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	calendar	month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो	agosto
aia				aia	aia (Source: Dalgado)			आया	āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ	aia
alfinete	0.03	28		alfinete	alfinete (Source: Dalgado)			आलपीन	ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो	alfinete
ambar			âmbar	ambar	ambar (Source: Dalgado); Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	ambar (Source: Dalgado); Persian عنبر  (source:  Wiktionary); Arabic عَنْبَر  (Source: Dalgado)	Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	अंबर	ambar	عنبر	noun	(Delhi) IPA(key): /əm.bəɾ/, [ɐ̃m.bɐɾ]	m.	ambergris perfume	materials	substances	masc cons-stem	अंबर	अंबर	अंबर	अंबर	अंबरों	अंबरो	ama
amen			amém ou ámen	amen	amen (Source: Dalgado); Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	amen (Source: Dalgado); Arabic آمين  (Source: Dalgado)	Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	आमीन	āmīn	آمین	interjection			amen	religion	practices, beliefs and rituals								ambar
ananás	2.82	2,541		ananás	ananás (Source: Dalgado)	ananás (Source: Dalgado)		अनन्नास	anannāsa	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)	botany	fruits	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो	amen
anis				? anis	? anis (Source: Dalgado); Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	? anis (Source: Dalgado); Greek ἄνισον  (Source: Dalgado) ; Latin anisum  (Source: Dalgado)	Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	अनीसून	anīsun	اَنِیسُون	noun		m.	aniseed										ananás
armário	4.93	4,445		armário	armário (Source: Dalgado)	armário (Source: Dalgado)		अलमारी	alamārī	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	furniture	pieces of furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो	anis
arrátel				arrátel	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	Arabic rat̤l (Source: McGregor)	रतल	ratal	رطل	noun		m.	a pound weight										armário
