Etymon-pt-PT	Etymon pt-PT Note	Etymology	Headword	Shahmuki	Transliteration	Pronunciation	Dalgado	Part of Speech	Gender	Definition	Wiktionary	Sense (Wiktionary)	Source	Example	Notes	Domain	Lexical Field	Synset	Synonyms	Grammar
achar	Borrowed from Portuguese (Dalgado); Borrowed from Classical Persian آچار (āčār) (Wiktionary).	achar (Source: Dalgado)	ਅਚਾਰ	اَچار	acār	IPA(key): /ə.t͡ʃäːɾə̆/, /t͡ʃäːɾə̆/	Achar	noun	masculine	pickle	https://en.wiktionary.org/wiki/%E0%A8%85%E0%A8%9A%E0%A8%BE%E0%A8%B0		Punjabi-English Dictionary, Patiala: Punjabi University, 2025							
armário	Borrowed from Portuguese (Dalgado); Borrowed from Urdu اَلْماری ( almārī ) (Wiktionary).	armário (Source: Dalgado);  ur اَلْماری ( almārī ) (Source: Wiktionary).	ਅਲਮਾਰੀ	الماری	alamārī	IPA(key): /ə.t͡ʃäːɾᵊ/	Armário	noun	feminine	cupboard , shelf ; almirah	https://en.wiktionary.org/wiki/ਅਲਮਾਰੀ		https://en.wiktionary.org/wiki/ਅਲਮਾਰੀ							
ananás	Derived from Portuguese ananás .	ananás (Source: Wiktionary)	ਅਨਾਨਾਸ	اناناس	anānās	IPA ( key ) : /ˌə.naˈnaː.s/		noun	masculine	pineapple	https://en.wiktionary.org/wiki/ਅਨਾਨਾਸ		https://en.wiktionary.org/wiki/ਅਨਾਨਾਸ							
balde	Borrowed from Urdu بالْٹی ( bālṭī ) .	pt balde > ur بالْٹی  (Source: Wiktionary)	ਬਾਲ਼ਟੀ	بالٹی	bālṭī			noun	feminine	bucket , pail , scuttle	https://en.wiktionary.org/wiki/ਬਾਲ਼ਟੀ		https://en.wiktionary.org/wiki/ਬਾਲ਼ਟੀ							
baptismo	Borrowed from Hindustani बपतिस्मा ( baptismā ) / بَپْتِسْمَہ ( baptisma ) , from English baptism or Portuguese baptismo .	hin बपतिस्मा, بَپْتِسْمَہ, baptisma | eng baptism | pt baptismo (Source: Wiktionary) 	ਬਪਤਸਮਾ	بپتسما	baptasamā			noun	masculine	( Christianity ) baptism	https://en.wiktionary.org/wiki/ਬਪਤਸਮਾ		https://en.wiktionary.org/wiki/ਬਪਤਸਮਾ							
Bombaim	Borrowed from Hindustani बंबई / بَمْبَئی ( bambaī ) , from Portuguese Bombaim .	pt Bombaim > hin बंबई, بَمْبَئی, bambaī	ਬੰਬਈ	بمبئی	bambaī			noun	feminine	Mumbai	https://en.wiktionary.org/wiki/ਬੰਬਈ		https://en.wiktionary.org/wiki/ਬੰਬਈ							
botelha	Borrowed from Urdu بوتَل ( botal ) .	pt botelha > ur بوتَل (Source: Wiktionary)	ਬੋਤਲ	بوتل	botal			noun	masculine	bottle	https://en.wiktionary.org/wiki/ਬੋਤਲ		https://en.wiktionary.org/wiki/ਬੋਤਲ							
bucha	Borrowed from Portuguese (Dalgado)	bucha (Source: Dalgado)	ਬੁੱਜਾ	بجا	bujjā		Bucha	noun	masculine	stopper, cork, plug, bung; any obstruction in the ear			Punjabi-English Dictionary, Patiala: Punjabi University, 2025							
caju	Borrowed from Urdu کاجُو ( kājū ) , from Portuguese caju .	pt caju > ur کاجُو (Source: Wiktionary)	ਕਾਜੂ	کاجو	kājū			noun	masculine	cashew nut	https://en.wiktionary.org/wiki/ਕਾਜੂ		https://en.wiktionary.org/wiki/ਕਾਜੂ							
casa de botão.	Borrowed from Hindustani काज / کاج (kāj), from Portuguese casa [de botão].	pt casa [de botão] > hin काज, کاج, kāj (Source: Wiktionary)	ਕਾਜ	کاج	kāj	IPA ( key ) : /käːd͡ʒə̆/		noun	masculine	work , task , affair & purpose , function & buttonhole	https://en.wiktionary.org/wiki/ਕਾਜ		https://en.wiktionary.org/wiki/ਕਾਜ							
chá	Borrowed from Portuguese (Dalgado); Either through dialectal Classical Persian چا (čā), or directly from Chinese 茶 (chá). Ultimately from Chinese 茶 (chá). Compare Urdu چائے (cā'e) / Hindi चाय (cāy) (Wiktionary)	pt chá (Source: Dalgado)| fa چا (Source: Wiktionary) | 茶 (Source: Wiktionary)	ਚਾਹ	چاہ	cāh		Chá	noun	masculine	tea			Punjabi-English Dictionary, Patiala: Punjabi University, 2025							
chave	Borrowed from Hindustani चाबी / چابی ( cābī ) , from Portuguese chave . [ 1 ]	pt chave > hin चाबी, چابی, cābī (Source: Wiktionary)	ਚਾਬੀ	چابی	cābī			noun	feminine	key Synonym: ਕੁੰਜੀ ( kuñjī ) & spanner , wrench	https://en.wiktionary.org/wiki/ਚਾਬੀ		https://en.wiktionary.org/wiki/ਚਾਬੀ							
couve	Borrowed from Hindustani गोभी / گوبھی ( gobhī ) , from Portuguese couve .	pt couve > hin गोभी, گوبھی, gobhī (Source: Wiktionary)	ਗੋਭੀ	گوبھی	gobhī			noun	feminine	cauliflower Synonym: ਫੁੱਲ ਗੋਭੀ ( phulla gobhī ) & Cruciefrous vegetables like cabbage , cauliflower , kohlrabi , broccoli , Brussels sprout and Chinese cabbage etc.	https://en.wiktionary.org/wiki/ਗੋਭੀ		https://en.wiktionary.org/wiki/ਗੋਭੀ							
espada	Borrowed from Hindustani इस्पात / اِسْپات ( ispāt ) , from Portuguese espada .		ਇਸਪਾਤ	اسپات	isapāt		Espada	noun	masculine	steel Synonym: ਫੁਲਾਦ ( phulād )	https://en.wiktionary.org/wiki/ਇਸਪਾਤ		https://en.wiktionary.org/wiki/ਇਸਪਾਤ							
fita	Borrowed from Portuguese (Dalgado)		ਫੀਤਾ	فیتہ	fitā		Fita	noun	masculine	measuring tape, ribbon			Punjabi-English Dictionary, Patiala: Punjabi University, 2025							
