Etymon pt-PT	Headword	Transliteration	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
agosto	अगस्त	agasta	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August			month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो
aia	आया	āyā	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse			domestic service/child care	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ
alfinete	आलपीन	ālapīn 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin				fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
alfinete	आलपीन	ālapīn 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	m.	hairslide				fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
ananás	अनन्नास	anannāsa	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)		botany	fruit	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो
armário	अलमारी	alamārī	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah			furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो
balde	बालटी	bālaṭī	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	alternative form बाल्टी			fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो
baptismo	बाप्तिस्मा	bāptismā	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m.	(Christianity) baptism		religion		masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो
botelha	बोतल	bōtala	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle			object	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो
caju	काजू	kājū	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut				masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ
câmara	कमरा	kamarā	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room				masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
carraguem	किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
carraguem	किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
carraguem	किराँची	kirām̐cī	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	bullock cart	potentially from English caroche 			fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
chave	चाबी	cābī	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	alternative form चाभी (cābhī)		object	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
couve	गोभी	gobhī	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cabbage	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
couve	गोभी	gobhī	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cauliflower	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão	क्रिस्तान	kristāna	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m., f.	christian		religion								
cruz	क्रूस	krūsa	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
cruz	क्रूस	krūsa	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	crucifix, cross		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
da Silva	डीसिल्वा	ḍīsilvā	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva										
dezembro	दिसंबर	disambara	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	इस्पात	ispāta	noun		m.				object							
estábulo	अस्तबल	astabala	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar	इस्तरी	istarī	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
