Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative
leilão	leilão: ← A. (al) a'lām	نيلام	nī'lām' 	नीलाम	noun			m.	نيلام	0	0
mastro		مستول	mastaul 	मस्तूल	noun			m.	مستول	33	0.12
mestre		مِستری	mistri	मिस्त्री	noun			m.	مستری	559	2.05
mármore		مرمر	marmar	मरमर	noun			m.	مرمر	486	1.78
martelo		مارتول	mārtol	मारतौल	noun		1. hammer 2. screwdriver, turnscrew	m.	مارتول	0	0
gudão		گودام	godām	गोदाम	noun		warehouse, storeroom, storage, cellar	m.	گودام	1,267	4.64
couve		گوبھی	gobhī	गोभी	noun	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	cauliflower	f.	گوبھی	744	2.72
igreja		گِرْجا 	girjā	गिरजा	noun	(Standard Urdu) IPA(key): /ɡɪɾ.d͡ʒɑː/	1. (Christianity) church  2. chapel	m.	گرجا	2,028	7.24
católico		کیتھولک	katholik	कैथोलिक	noun	(Standard Urdu) IPA(key): /kɛː.t̪ʰoː.lɪk/	a Roman Catholic	m.	کیتھولک	1,300	4.76
cocheiro		کوچبان	kochavān	कोचवान	noun			m.	کوچبان	3	0.01
câmara		کمرہ 	kamra	कमरा	noun	(Standard Urdu) IPA(key): /kəm.ɾɑ(ː)/	1. room, chamber 2. compartment (of an aeroplane or train)	m.	کمرہ	20,964	76.72
querubim		کَرُوبِیم		करूबीम	noun				کَرُوبِیم	0	0
coronel		کرنل	karnal	कर्नल	noun			m.	کرنل	6,681	24.45
cristão	cristão; × H. musalmān, P. naṣrān	کرستان	kristān	क्रिस्तान	noun			m.	کِرِسْتانی	0	
capitão		کپتان	kaptān	कप्तान	noun	(Standard Urdu) IPA(key): /kəp.t̪ɑːn/	1.captain 2. skipper	m.	کپتان	18,562	67.93
cartucho		کارتوس	kāratus	कारतूस	noun			m.	کارتوس	672	2.46
casa		کاج	kāj	काज	noun			m.	کاج	N	N
camisa		قمیض	qamīs	क़मीज़	noun	(Standard Urdu) IPA(key): /qə.miːz/	1. shirt 2. garment	m.	قمیض	1,257	4.6
fita		فيتہ	fītā	फ़ीता	noun			m.		0	0
falto		فالتو	fāltū	फ़ालतू	adj.	(Standard Urdu) IPA(key): /fɑːl.t̪uː/	surplus, spare, extra, additional, useless		فالتو	0	0
tufão		طوفان	tūfān	तूफ़ान	noun	(Standard Urdu) IPA(key): /t̪uː.fɑːn/	storm & flood & deluge &  inundation & typhoon & hurricane	m.	طوفان	9,982	36.53
sabão		صابن	sābun	साबुन	noun	(Standard Urdu) IPA(key): /sɑː.bʊn/	1. soap 2. washing powder (ie. for a washing machine etc.)	m.	صابن	1,632	5.97
sorte		شرط	šart	शर्ती	noun	(Standard Urdu) IPA(key): /ʃəɾt̪/	1. condition, term 2. wager, bet 3. provision, wage	f.	شرط	N	N
setembro	September	ستمبر	sitambar	सितंबर	noun		September	m.		24,037	87.97
saia		سايہ	 sā'yah	साया	noun		petticoat, underskirt	m.	سایہ⁩	0	0
sagu		ساگو	sāgū	सागू	noun			m.	ساگو	11	0.04
arrátel		رطل	ratal	रतल	noun		1. (units of measurement) pound 2. a pound weight 3. ( units of measurement) a pint	m.	رطل	53	0.19
recibo		رسید	rasīd	रसीद	noun	(Standard Urdu) IPA(key): /ɾə.siːd̪/	1. (law) bill, invoice  2. receipt (ie. confirmation)  3. clue, address, knowledge 4. response (to a question or statement/action) 		رسید	1,914	7
dezembro	December	دسمبر	disambar	दिसंबर	noun	(Standard Urdu) IPA(key): /d̪ɪ.səm.bəɾ/		m.	دسمبر	26,714	97.77
chapa		چھاپہ		छापा					چھاپہ	N	
chave		چابی	cābī	चाबी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	key (object for opening and closing a lock)	f.	چابی	1,799	6.58
chave		چابھی	cābhī	चाभी	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.bʱiː/	key (object for opening and closing a lock)	f.	چابی	7.52	
chá		چائے	cāy	चाय	noun	(Standard Urdu) IPA(key): /t͡ʃɑː.eː/	tea	f.	چائے	12,222	44.73
jogar		جواری	juārī	जुआरी	noun		gambler	m.	جواری	233	0.85
jogar		جوا	juā	जुआ	noun	(Standard Urdu) IPA(key): /d͡ʒʊ.ɑː/, /d͡ʒʊ.wɑː/, /d͡ʒuː.ɑː/	gambling	m.	جوا	1,845	6.75
