अगस्त	agasta	noun	m.	August	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो
आया	āyā	noun	f.	ayah: nurse maid, nurse	आया	आया	आया	आयाएँ	आयाओं	आयाओ
आलपीन	ālapīn 	noun	f.	safety pin	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
आलपीन	ālapīn 	noun	m.	hairslide	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
अनन्नास	anannāsa	noun	m.	pineapple (fruit)	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो
अलमारी	alamārī	noun	f.	cupboard, shelf; almirah	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो
बालटी	bālaṭī	noun	f.	bucket, container	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो
बाप्तिस्मा	bāptismā	noun	m.	(Christianity) baptism	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो
बोतल	bōtala	noun	f.	bottle	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो
काजू	kājū	noun	m.	cashew nut	काजू	काजू	काजू	काजू	काजुओं	काजुओ
कमरा	kamarā	noun	m.	room	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
किराँची	kirām̐cī	noun	f.	a cart used to carry loads, carriage of goods train	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
किराँची	kirām̐cī	noun	f.	a cart used to carry loads, carriage of goods train	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
किराँची	kirām̐cī	noun	f.	bullock cart	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
चाबी	cābī	noun	f.	key 	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
गोभी	gobhī	noun	f 	cabbage 	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
गोभी	gobhī	noun	f 	cauliflower 	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
क्रिस्तान	kristāna	noun	m., f.	christian						
क्रूस	krūsa	noun	m.	the cross on which Jesus Christ was crucified	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
क्रूस	krūsa	noun	m.	crucifix, cross	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
डीसिल्वा	ḍīsilvā	proper noun	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva						
दिसंबर	disambara	noun	m.	December	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
इस्पात	ispāta	noun	m.							
अस्तबल	astabala	noun	m.	stable (for a horse)	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
इस्तरी	istarī	noun	f.	iron, press	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
फ़ीता	fītā	noun	m.	lace; shoelace	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
फ़ीता	fītā	noun	m.	tape; tape measure	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
फ़ीता	fītā	noun	m.	ribbon	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
जेंटू	jẽṭū	noun	m.	Gentoo	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
ओलंदेज़	olandez	noun	m or f by sense	(dated) Dutchman; citizen of Holland 						
अस्पताल	aspatāla	noun	m.	hospital	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
गिरजा	girajā	noun	m.	church 	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
गिरजा	girajā	noun	m.	chapel	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
अँग्रेज़	am̐grēz	noun	m.							
अंग्रेज़	aṅgrez	noun	m or f by sense 	English person (Englishman or Englishwoman)						
जंगला	jaṅglā	noun	m.		जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
नीलाम	nīlāma	noun	m. & adv.	auction (a public event where goods are sold through bidding)	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
मारतौल	mārataula	noun	m.	a heavy hammer, hammer 	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
